Date : 2022-04-05 23:49:48
Directory : /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo
Total : 81 files,  1731 codes, 993 comments, 552 blanks, all 3276 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Python             |         32 |        738 |        736 |        348 |      1,822 |
| TypeScript         |         21 |        349 |        208 |        114 |        671 |
| Vue                |         12 |        309 |          1 |         44 |        354 |
| JavaScript         |          4 |         93 |         29 |         19 |        141 |
| pip requirements   |          1 |         70 |          0 |          0 |         70 |
| JSON               |          1 |         48 |          0 |          1 |         49 |
| JSON with Comments |          1 |         32 |         11 |          0 |         43 |
| Log                |          3 |         27 |          0 |          3 |         30 |
| Markdown           |          2 |         23 |          6 |         16 |         45 |
| SQL                |          1 |         18 |          1 |          5 |         24 |
| HTML               |          1 |         16 |          1 |          1 |         18 |
| YAML               |          1 |          5 |          0 |          0 |          5 |
| XML                |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         81 |      1,731 |        993 |        552 |      3,276 |
| config                                                                                                                    |          1 |         31 |         14 |          9 |         54 |
| public                                                                                                                    |          2 |         19 |          1 |          2 |         22 |
| public/img                                                                                                                |          1 |          3 |          0 |          1 |          4 |
| public/img/icons                                                                                                          |          1 |          3 |          0 |          1 |          4 |
| pythonServer                                                                                                              |         39 |        864 |        737 |        363 |      1,964 |
| pythonServer/server                                                                                                       |         39 |        864 |        737 |        363 |      1,964 |
| pythonServer/server/api                                                                                                   |          3 |        117 |         84 |         47 |        248 |
| pythonServer/server/api/v1                                                                                                |          3 |        117 |         84 |         47 |        248 |
| pythonServer/server/common                                                                                                |          7 |        178 |        132 |         75 |        385 |
| pythonServer/server/core                                                                                                  |          5 |        147 |        205 |         76 |        428 |
